run_id,seed,n_events,mean_art,std_art,ticks
0,42,239,24.079,8.708,5000
1,43,264,26.909,10.921,5000
2,44,276,25.569,10.26,5000
3,45,219,25.653,10.228,5000
4,46,233,24.515,8.953,5000
5,47,274,26.018,10.223,5000
6,48,254,25.165,9.18,5000
7,49,235,25.153,10.504,5000
8,50,240,24.667,9.456,5000
9,51,264,26.348,10.286,5000
10,52,252,25.702,10.322,5000
11,53,234,26.534,11.037,5000
12,54,252,24.929,9.347,5000
13,55,254,25.791,10.057,5000
14,56,251,25.331,10.363,5000
15,57,243,25.498,9.331,5000
16,58,248,25.944,10.504,5000
17,59,270,24.848,9.651,5000
18,60,275,25.022,10.561,5000
19,61,253,25.751,10.499,5000
20,62,252,25.563,10.019,5000
21,63,276,25.058,10.089,5000
22,64,245,24.657,9.463,5000
23,65,266,25.726,10.727,5000
24,66,247,24.899,10.108,5000
25,67,250,24.696,10.449,5000
26,68,254,25.161,9.899,5000
27,69,255,26.584,11.165,5000
28,70,242,24.211,8.703,5000
29,71,240,24.158,8.665,5000
SUMMARY,all,7557,25.338,0.714,150000
